"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\authentication_api.dart", "Dart", 26, 3, 5, 34
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\comments_api.dart", "Dart", 9, 3, 3, 15
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart", "Dart", -4, 1, -2, -5
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\comments_bloc\comments_bloc.dart", "Dart", 37, 2, 7, 46
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\comments_bloc\comments_event.dart", "Dart", 10, 7, 6, 23
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\comments_bloc\comments_state.dart", "Dart", 13, 8, 7, 28
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart", "Dart", 0, 4, 0, 4
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_bloc.dart", "Dart", -1, 0, 0, -1
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_bloc.dart", "Dart", 14, 0, 2, 16
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_event.dart", "Dart", 5, 4, 3, 12
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_bloc.dart", "Dart", -20, -3, -3, -26
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_event.dart", "Dart", -21, -16, -13, -50
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_state.dart", "Dart", -34, -13, -10, -57
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\auth_repository.dart", "Dart", 8, 1, 2, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\comments_repository.dart", "Dart", 16, 3, 7, 26
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\comment\comment.dart", "Dart", 10, 5, 4, 19
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\joke_create.dart", "Dart", 0, 3, 2, 5
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user.dart", "Dart", 5, 1, 1, 7
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\components\curves_painter.dart", "Dart", 21, 8, 11, 40
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\components\custom_elevated_button.dart", "Dart", 18, 0, 1, 19
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\widget_constants.dart", "Dart", 1, 1, 1, 3
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\auth_form_field.dart", "Dart", 68, 6, 8, 82
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\background_auth_view_circles.dart", "Dart", 73, 4, 10, 87
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\bouncing_button.dart", "Dart", 48, 5, 7, 60
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\google_auth_button.dart", "Dart", 40, 2, 3, 45
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\google_sign_in_button.dart", "Dart", 48, 2, 4, 54
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\icons_row.dart", "Dart", 28, 2, 4, 34
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\password_form_field.dart", "Dart", 81, 5, 9, 95
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\service_auth_icon.dart", "Dart", 28, 3, 4, 35
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\sign_in_form_widgets.dart", "Dart", 88, 10, 9, 107
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\sign_in_navigation_text.dart", "Dart", 36, 2, 3, 41
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\sign_up_form.dart", "Dart", 103, 13, 13, 129
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth\components\sign_up_navigation_text.dart", "Dart", 36, 2, 3, 41
