"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\main.dart", "Dart", 5, 0, 2, 7
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\authentication_api.dart", "Dart", 48, 6, 15, 69
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart", "Dart", 38, 3, 12, 53
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\app.dart", "Dart", 55, 2, 3, 60
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\form_submission_status.dart", "Dart", 12, 12, 6, 30
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_bloc.dart", "Dart", 57, 4, 11, 72
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_event.dart", "Dart", 11, 11, 7, 29
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_state.dart", "Dart", 25, 11, 8, 44
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_bloc.dart", "Dart", 100, 4, 16, 120
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_event.dart", "Dart", 16, 18, 10, 44
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_state.dart", "Dart", 34, 14, 11, 59
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\validation_mixin.dart", "Dart", 35, 4, 9, 48
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart", "Dart", 74, 3, 19, 96
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart", "Dart", 26, 16, 16, 58
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_state.dart", "Dart", 38, 14, 11, 63
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_bloc.dart", "Dart", 46, 3, 9, 58
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_event.dart", "Dart", 19, 14, 11, 44
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_state.dart", "Dart", 26, 7, 7, 40
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_form_status.dart", "Dart", 7, 7, 5, 19
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\nav_bar_cubit\nav_bar_cubit.dart", "Dart", 6, 3, 4, 13
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\nav_bar_cubit\nav_bar_cubit_state.dart", "Dart", 5, 3, 3, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_bloc.dart", "Dart", 59, 5, 10, 74
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_event.dart", "Dart", 19, 14, 11, 44
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_state.dart", "Dart", 8, 6, 6, 20
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_bloc.dart", "Dart", 20, 3, 3, 26
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_event.dart", "Dart", 21, 16, 13, 50
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_jokes_bloc\user_jokes_state.dart", "Dart", 34, 13, 10, 57
