"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\authentication_api.dart", "Dart", 11, 2, 4, 17
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart", "Dart", 4, 0, 0, 4
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_bloc.dart", "Dart", 2, 0, 0, 2
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_state.dart", "Dart", 0, 1, 0, 1
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart", "Dart", 4, 0, -1, 3
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart", "Dart", 4, 3, 2, 9
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_bloc.dart", "Dart", 40, 3, 6, 49
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_event.dart", "Dart", 12, 9, 6, 27
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\auth_repository.dart", "Dart", -24, 1, 3, -20
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\jokes_repository.dart", "Dart", 2, 0, 0, 2
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\get_jokes_parameters.dart", "Dart", 7, 2, 2, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user.dart", "Dart", 17, 1, 1, 19
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\app_constants.dart", "Dart", -8, -9, -8, -25
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\components\custom_elevated_button.dart", "Dart", 34, 6, 7, 47
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\theme.dart", "Dart", 17, 0, 2, 19
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\widget_constants.dart", "Dart", 17, 18, 15, 50
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\auth_form_field.dart", "Dart", 1, 0, 0, 1
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\bouncing_button.dart", "Dart", 48, 5, 7, 60
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\custom_elevated_button.dart", "Dart", -29, -4, -5, -38
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\google_auth_button.dart", "Dart", 40, 2, 3, 45
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\password_form_field.dart", "Dart", 14, 1, 2, 17
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_form.dart", "Dart", -147, -26, -14, -187
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_form_widgets.dart", "Dart", 80, 10, 9, 99
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_navigation_text.dart", "Dart", -3, 0, 0, -3
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_up_form.dart", "Dart", -132, -3, -4, -139
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\subtitle_text.dart", "Dart", 20, 2, 3, 25
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\title_text.dart", "Dart", -10, 0, -4, -14
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\display_name_create_view.dart", "Dart", -8, -4, -3, -15
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\sign_in_view.dart", "Dart", 119, 4, 6, 129
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\sign_up_view.dart", "Dart", 86, 0, 3, 89
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\background_home_view_circles.dart", "Dart", -62, -4, -9, -75
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\clear_button.dart", "Dart", -41, -4, -8, -53
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\ascending_sort_chip.dart", "Dart", -80, -3, -9, -92
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\descending_sort_chip.dart", "Dart", -73, -4, -9, -86
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\filter_options_menu.dart", "Dart", -81, -2, -6, -89
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\refresh_jokes_button.dart", "Dart", -53, -2, -4, -59
