"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\password_form_field.dart", "Dart", 81, 5, 9, 95
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\service_auth_icon.dart", "Dart", 28, 3, 4, 35
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_form_widgets.dart", "Dart", 80, 10, 9, 99
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_navigation_text.dart", "Dart", 36, 2, 3, 41
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_up_form.dart", "Dart", 103, 13, 13, 129
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_up_navigation_text.dart", "Dart", 36, 2, 3, 41
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\subtitle_text.dart", "Dart", 20, 2, 3, 25
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\title_text.dart", "Dart", 27, 2, 3, 32
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\sign_in_view.dart", "Dart", 157, 6, 9, 172
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\sign_up_view.dart", "Dart", 124, 2, 6, 132
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\components\bottom_nav_bar.dart", "Dart", 52, 2, 3, 57
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\components\bottom_nav_bar_button.dart", "Dart", 72, 5, 6, 83
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\background_home_view_circles.dart", "Dart", 102, 5, 10, 117
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\clear_button.dart", "Dart", 41, 4, 8, 53
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\ascending_sort_chip.dart", "Dart", 54, 2, 3, 59
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\descending_sort_chip.dart", "Dart", 58, 3, 4, 65
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\filter_options_menu.dart", "Dart", 87, 2, 6, 95
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\refresh_jokes_button.dart", "Dart", 63, 2, 4, 69
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\search_by_dropdown_button.dart", "Dart", 53, 4, 4, 61
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\show_more_button.dart", "Dart", 66, 5, 8, 79
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\filter_options_menu\show_only_liked_button.dart", "Dart", 61, 3, 5, 69
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\jokes_list.dart", "Dart", 117, 3, 14, 134
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\jokes_list_element.dart", "Dart", 73, 3, 5, 81
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\jokes_search_text_field.dart", "Dart", 62, 2, 7, 71
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\shimmer_loader.dart", "Dart", 29, 2, 3, 34
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\title_section.dart", "Dart", 21, 2, 3, 26
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\user_info_section.dart", "Dart", 33, 2, 3, 38
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\components\user_profile_icon.dart", "Dart", 59, 2, 4, 65
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\home_view.dart", "Dart", 57, 2, 6, 65
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\joke_view\components\background_joke_view_circles.dart", "Dart", 94, 4, 11, 109
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\joke_view\components\joke_text_view.dart", "Dart", 29, 3, 4, 36
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\joke_view\components\joke_title.dart", "Dart", 32, 3, 4, 39
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\joke_view\components\options_row.dart", "Dart", 43, 2, 4, 49
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\joke_view\components\reactions_row.dart", "Dart", 24, 2, 3, 29
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\home\joke_view\joke_view.dart", "Dart", 48, 3, 5, 56
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\background_profile_view_circles.dart", "Dart", 62, 4, 9, 75
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\bio_field.dart", "Dart", 115, 3, 10, 128
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\bio_page.dart", "Dart", 129, 3, 9, 141
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\change_avatar_icon.dart", "Dart", 39, 3, 4, 46
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\status_field.dart", "Dart", 77, 3, 7, 87
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\user_jokes_list_search_bar.dart", "Dart", 65, 2, 4, 71
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\user_profile_full_icon.dart", "Dart", 33, 2, 3, 38
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\username_field.dart", "Dart", 38, 2, 5, 45
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\root\profile\components\users_jokes_list.dart", "Dart", 70, 2, 4, 76
