"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\main.dart", "Dart", 5, 0, 2, 7
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\authentication_api.dart", "Dart", 24, 3, 8, 35
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\apis\jokes_api.dart", "Dart", 26, 3, 10, 39
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\app.dart", "Dart", 55, 2, 3, 60
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\form_submission_status.dart", "Dart", 12, 12, 6, 30
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_bloc.dart", "Dart", 57, 4, 11, 72
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_event.dart", "Dart", 11, 11, 7, 29
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_in_bloc\sign_in_state.dart", "Dart", 25, 11, 8, 44
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_bloc.dart", "Dart", 65, 4, 14, 83
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_event.dart", "Dart", 15, 17, 9, 41
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\sign_up_bloc\sign_up_state.dart", "Dart", 29, 12, 9, 50
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\authentication_blocs\validation_mixin.dart", "Dart", 35, 4, 9, 48
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart", "Dart", 50, 3, 13, 66
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart", "Dart", 16, 12, 10, 38
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_state.dart", "Dart", 38, 14, 11, 63
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_bloc.dart", "Dart", 46, 3, 9, 58
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_event.dart", "Dart", 19, 14, 11, 44
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_create_state.dart", "Dart", 26, 7, 7, 40
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\joke_create_bloc\joke_form_status.dart", "Dart", 7, 7, 5, 19
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\nav_bar_cubit\nav_bar_cubit.dart", "Dart", 6, 3, 4, 13
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\nav_bar_cubit\nav_bar_cubit_state.dart", "Dart", 5, 3, 3, 11
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_bloc.dart", "Dart", 19, 2, 4, 25
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_event.dart", "Dart", 7, 5, 5, 17
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\user_bloc\user_state.dart", "Dart", 8, 6, 6, 20
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\auth_repository.dart", "Dart", 47, 5, 7, 59
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\jokes_repository.dart", "Dart", 21, 3, 6, 30
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\get_jokes_parameters.dart", "Dart", 5, 10, 3, 18
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\joke\joke.dart", "Dart", 27, 8, 7, 42
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user.dart", "Dart", 42, 13, 13, 68
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user_create.dart", "Dart", 17, 8, 5, 30
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\repositories\models\user\user_get.dart", "Dart", 14, 6, 4, 24
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\app_colors.dart", "Dart", 11, 9, 9, 29
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\app_constants.dart", "Dart", 11, 12, 9, 32
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\components\circle_painter.dart", "Dart", 32, 8, 12, 52
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\theme.dart", "Dart", 49, 1, 3, 53
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\auth_form_field.dart", "Dart", 69, 6, 8, 83
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\background_auth_view_circles.dart", "Dart", 73, 4, 10, 87
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\custom_elevated_button.dart", "Dart", 29, 4, 5, 38
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\icons_row.dart", "Dart", 28, 2, 4, 34
