"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_bloc.dart", "Dart", 13, 0, 4, 17
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_event.dart", "Dart", 5, 4, 3, 12
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\blocs\home_bloc\home_state.dart", "Dart", 8, 2, 2, 12
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\shared\theme.dart", "Dart", 2, 0, 0, 2
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\auth_form_field.dart", "Dart", 0, -2, -3, -5
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\password_form_field.dart", "Dart", 75, 4, 7, 86
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_in_form.dart", "Dart", -6, 14, 0, 8
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\auth_views\components\sign_up_form.dart", "Dart", -6, 0, 0, -6
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\ascending_sort_chip.dart", "Dart", 80, 3, 9, 92
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\descending_sort_chip.dart", "Dart", 73, 4, 9, 86
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\filter_options_menu.dart", "Dart", 81, 2, 6, 89
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\refresh_jokes_button.dart", "Dart", 53, 2, 4, 59
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\search_by_dropdown_button.dart", "Dart", 62, 4, 4, 70
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\show_more_button.dart", "Dart", 44, 4, 5, 53
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_menu\show_only_liked_button.dart", "Dart", 79, 4, 9, 92
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\filter_options_row.dart", "Dart", -27, -2, -4, -33
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\jokes_list_element.dart", "Dart", 7, 0, 0, 7
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\refresh_jokes_button.dart", "Dart", -46, -2, -5, -53
"d:\Development\Collaborative_development\flugo\flugo_mobile\lib\src\views\home\components\search_by_dropdown_button.dart", "Dart", -65, -4, -5, -74
"Total", "-", 432, 37, 45, 514
